model,lut_name,status,error,traceback
Deci/DeciLM-7B,Mistral-7B-v0.1,failed,The model class you are passing has a `config_class` attribute that is not consistent with the config class you passed (model has <class 'transformers_modules.Deci.DeciLM_hyphen_7B.c3c9f4226801dc0433f32aebffe0aac68ee2f051.transformers_v4_35_2__configuration_llama.LlamaConfig'> and you passed <class 'transformers_modules.Deci.DeciLM_hyphen_7B.c3c9f4226801dc0433f32aebffe0aac68ee2f051.configuration_decilm.DeciLMConfig'>. Fix one of those so they match!,"Traceback (most recent call last):
  File ""/home/onceas/Arantir/lorekeep/experiments/waveslice_a100_suite.py"", line 358, in main
    row = _run_model(
  File ""/home/onceas/Arantir/lorekeep/experiments/waveslice_a100_suite.py"", line 151, in _run_model
    adapter_a, adapter_b = _ensure_adapters(
  File ""/home/onceas/Arantir/lorekeep/experiments/waveslice_a100_suite.py"", line 107, in _ensure_adapters
    generated = build_synthetic_adapters(
  File ""/home/onceas/Arantir/lorekeep/tools/synthetic_lora_builder.py"", line 173, in build_synthetic_adapters
    _build_one_adapter(
  File ""/home/onceas/Arantir/lorekeep/tools/synthetic_lora_builder.py"", line 76, in _build_one_adapter
    model = AutoModelForCausalLM.from_pretrained(
  File ""/home/onceas/anaconda3/envs/sara/lib/python3.10/site-packages/transformers/models/auto/auto_factory.py"", line 594, in from_pretrained
    cls.register(config.__class__, model_class, exist_ok=True)
  File ""/home/onceas/anaconda3/envs/sara/lib/python3.10/site-packages/transformers/models/auto/auto_factory.py"", line 624, in register
    raise ValueError(
ValueError: The model class you are passing has a `config_class` attribute that is not consistent with the config class you passed (model has <class 'transformers_modules.Deci.DeciLM_hyphen_7B.c3c9f4226801dc0433f32aebffe0aac68ee2f051.transformers_v4_35_2__configuration_llama.LlamaConfig'> and you passed <class 'transformers_modules.Deci.DeciLM_hyphen_7B.c3c9f4226801dc0433f32aebffe0aac68ee2f051.configuration_decilm.DeciLMConfig'>. Fix one of those so they match!
"
baichuan-inc/Baichuan2-7B-Chat,Mistral-7B-v0.1,failed,This modeling file requires the following packages that were not found in your environment: bitsandbytes. Run `pip install bitsandbytes`,"Traceback (most recent call last):
  File ""/home/onceas/Arantir/lorekeep/experiments/waveslice_a100_suite.py"", line 358, in main
    row = _run_model(
  File ""/home/onceas/Arantir/lorekeep/experiments/waveslice_a100_suite.py"", line 151, in _run_model
    adapter_a, adapter_b = _ensure_adapters(
  File ""/home/onceas/Arantir/lorekeep/experiments/waveslice_a100_suite.py"", line 107, in _ensure_adapters
    generated = build_synthetic_adapters(
  File ""/home/onceas/Arantir/lorekeep/tools/synthetic_lora_builder.py"", line 173, in build_synthetic_adapters
    _build_one_adapter(
  File ""/home/onceas/Arantir/lorekeep/tools/synthetic_lora_builder.py"", line 76, in _build_one_adapter
    model = AutoModelForCausalLM.from_pretrained(
  File ""/home/onceas/anaconda3/envs/sara/lib/python3.10/site-packages/transformers/models/auto/auto_factory.py"", line 586, in from_pretrained
    model_class = get_class_from_dynamic_module(
  File ""/home/onceas/anaconda3/envs/sara/lib/python3.10/site-packages/transformers/dynamic_module_utils.py"", line 604, in get_class_from_dynamic_module
    final_module = get_cached_module_file(
  File ""/home/onceas/anaconda3/envs/sara/lib/python3.10/site-packages/transformers/dynamic_module_utils.py"", line 467, in get_cached_module_file
    get_cached_module_file(
  File ""/home/onceas/anaconda3/envs/sara/lib/python3.10/site-packages/transformers/dynamic_module_utils.py"", line 427, in get_cached_module_file
    modules_needed = check_imports(resolved_module_file)
  File ""/home/onceas/anaconda3/envs/sara/lib/python3.10/site-packages/transformers/dynamic_module_utils.py"", line 260, in check_imports
    raise ImportError(
ImportError: This modeling file requires the following packages that were not found in your environment: bitsandbytes. Run `pip install bitsandbytes`
"
