density,model_key,dispatcher,replica_id,status,returncode,result_json
mid_l90,gemma-2-9b-it,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l90/gemma-2-9b-it/round_robin/replica0.json
mid_l90,gemma-2-9b-it,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l90/gemma-2-9b-it/round_robin/replica1.json
mid_l90,gemma-2-9b-it,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l90/gemma-2-9b-it/least_backlog/replica0.json
mid_l90,gemma-2-9b-it,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l90/gemma-2-9b-it/least_backlog/replica1.json
high_l10,gemma-2-9b-it,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l10/gemma-2-9b-it/round_robin/replica0.json
high_l10,gemma-2-9b-it,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l10/gemma-2-9b-it/round_robin/replica1.json
high_l10,gemma-2-9b-it,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l10/gemma-2-9b-it/least_backlog/replica0.json
high_l10,gemma-2-9b-it,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l10/gemma-2-9b-it/least_backlog/replica1.json
high_l30,gemma-2-9b-it,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l30/gemma-2-9b-it/round_robin/replica0.json
high_l30,gemma-2-9b-it,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l30/gemma-2-9b-it/round_robin/replica1.json
