gpu_profile,gpu_label,density,density_level,target_long_fraction_pct,model_key,distserve_decode_replay_mode,distserve_decode_batch_size,distserve_decode_batch_alpha,cucumis_dispatcher,comparison_scope,distserve_all_ttft_p99_ms,cucumis_all_ttft_p99_ms,all_ttft_p99_ratio,distserve_short_ttft_p99_ms,cucumis_short_ttft_p99_ms,short_ttft_p99_ratio,distserve_all_completion_p99_ms,cucumis_all_completion_p99_ms,all_completion_p99_ratio,distserve_round_wall_ms,cucumis_round_wall_ms,round_wall_ratio,distserve_throughput_rps,cucumis_throughput_rps,throughput_ratio
rtx4090,RTX 4090,high_l10,high,10,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,672.717,1045.83,0.643237,673.947,761.97,0.88448,23090.7,5627.11,4.10347,27196.6,9492.03,2.86521,1.47077,4.21685,0.348785
rtx4090,RTX 4090,high_l30,high,30,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2339.29,5877.34,0.398018,2315.61,5886.42,0.393382,23085,10657.1,2.16617,27162.6,13329.5,2.03778,1.4727,3.00146,0.49066
rtx4090,RTX 4090,high_l50,high,50,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,3815.86,11128.6,0.342889,2658.35,11217.2,0.236989,22869.1,15634.7,1.46271,27113.9,17993.1,1.5069,1.4768,2.22312,0.664292
rtx4090,RTX 4090,high_l70,high,70,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,5179.89,14328.6,0.361508,1617.24,179.215,9.02402,22430.4,18665.7,1.20169,26677.2,21961.8,1.21471,1.49941,1.82137,0.82323
rtx4090,RTX 4090,high_l90,high,90,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,7015.26,17042.1,0.411644,729.597,161.346,4.52194,22402.1,22434.3,0.998565,26469,25186.8,1.05091,1.51141,1.59433,0.947992
rtx4090,RTX 4090,mid_l10,mid,10,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,540.561,2534.78,0.213258,523.027,2543.27,0.205652,11327.7,5184.27,2.18502,16764,8327.92,2.01299,2.38613,4.80312,0.496786
rtx4090,RTX 4090,mid_l30,mid,30,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1586.74,10051.5,0.15786,1512.56,6186.98,0.244475,11367.7,16277.6,0.698362,16773.7,18709.9,0.896515,2.38474,2.13791,1.11546
rtx4090,RTX 4090,mid_l50,mid,50,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2544.85,18707.3,0.136035,1538.66,17878.3,0.0860633,10966.5,22245.8,0.492971,16516.2,24764.8,0.666922,2.42187,1.61654,1.49818
rtx4090,RTX 4090,mid_l70,mid,70,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,4842.84,23108.7,0.209567,1133.1,23170,0.0489036,11113.6,25760.3,0.431424,16636.7,27665.7,0.601348,2.40432,1.44816,1.66025
rtx4090,RTX 4090,mid_l90,mid,90,gemma-7b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,7303.55,31624.7,0.230945,631.454,114.433,5.51813,11671.5,40789.3,0.28614,17295.9,41497.6,0.416792,2.31269,0.963924,2.39925
