density,density_level,target_long_fraction_pct,model_key,model_label,method,repeat_index,round_wall_ms,throughput_rps,source_json,request_count,short_request_count,long_request_count,measured_long_fraction,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms
mid_l10,mid,10,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,10326.527442026418,3.873518975721681,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l10/baichuan2-7b-chat_dataset_eval.json,40.0,36.0,4.0,0.1,146.08643797691911,154.4414624979254,423.25597162125626,4678.506470489083,4747.056201292435,4891.4720431144815,145.64793402678333,151.38858248246834,154.90281622332986,4678.506470489083,4745.114924007794,4758.084786889958,381.32986798882484,428.59333171509206,444.6054119965993,3238.271270500263,4899.37136399094,4968.576918886974
mid_l10,mid,10,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,10321.227362030186,3.8755080764088508,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l10/baichuan2-7b-chat_dataset_eval.json,40.0,36.0,4.0,0.1,142.52646651584655,168.47723949467786,435.4868205136154,4575.350882485509,4747.331233840669,4945.333375862101,142.43344651185907,148.36023750831373,151.73779899487272,4575.350882485509,4743.834622524446,4748.947945187683,406.39923300477676,435.8731267042458,437.03204527613707,3370.308251993265,4949.453938205261,4961.81562523474
mid_l30,mid,30,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,10309.172458015382,3.880039854110695,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l30/baichuan2-7b-chat_dataset_eval.json,40.0,28.0,12.0,0.3,147.32285545323975,423.38920636684634,523.3363363699755,4659.717241011094,4958.741604187526,5065.628292034962,144.23644851194695,159.24870193121026,202.964283353067,4659.717241011094,4954.8355768900365,4962.331950260559,362.75128001580015,473.4393415041268,545.8340446016518,3929.4055935170036,5000.307352113305,5095.435777421226
mid_l30,mid,30,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,10270.673564984463,3.8945839089240404,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l30/baichuan2-7b-chat_dataset_eval.json,40.0,28.0,12.0,0.3,146.70961900264956,424.84045797609724,524.7715164825786,4678.905311506242,4978.86803978472,5084.522062506876,144.77183649432845,161.23371609719473,205.78332271135878,4678.905311506242,4970.340425090399,4981.819084529416,362.57557303179055,474.7699738945812,547.285966478521,4266.547092527617,5020.370794896735,5113.846902937512
mid_l50,mid,50,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,10688.842305040453,3.74222005138363,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l50/baichuan2-7b-chat_dataset_eval.json,40.0,20.0,20.0,0.5,191.42414900125004,587.1621088765096,668.9506933203666,5317.040694993921,5973.471167695243,6101.044421106926,168.9624129794538,198.67009199806495,298.1612445844802,5685.965581535129,5973.471167695243,6026.050019871327,492.8219680150505,622.5268619600683,679.5859121246029,3577.2438000130933,5833.207059599226,6113.271347236587
mid_l50,mid,50,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,10317.925567971542,3.876748260732396,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l50/baichuan2-7b-chat_dataset_eval.json,40.0,20.0,20.0,0.5,151.8460920196958,490.31159330043016,590.5158015195047,4989.971935021458,5290.660815290175,5551.488826481509,144.66916501987725,150.80068163806573,197.16691200563213,5113.77795599401,5287.258728983579,5297.599498349009,428.45358900376596,564.2639169003814,591.1528515274404,4569.29713950376,5323.2897635840345,5567.948176478385
mid_l70,mid,70,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,10607.74654202396,3.7708291616447305,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l70/baichuan2-7b-chat_dataset_eval.json,40.0,12.0,28.0,0.7,231.94086801959202,505.44524503056897,576.8503512220923,5038.2271074922755,5414.791078912094,5602.386776276398,145.37905296310782,200.93045990215614,224.18445973133203,5327.160030516097,5395.267104584491,5416.734705644194,386.28041549236514,547.3980298091192,577.3746003874112,3798.2691880024504,5458.616993424948,5609.039174031932
mid_l70,mid,70,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,10584.642714005895,3.779060009939767,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l70/baichuan2-7b-chat_dataset_eval.json,40.0,12.0,28.0,0.7,212.3356149531901,515.2630052296445,625.8967802731786,5029.071619501337,5408.878368505975,5578.689028548542,145.64043801510707,188.0927374062594,209.7221060388256,5293.774192483397,5340.320822392823,5401.225540204905,389.6702460187953,546.1943831120152,635.4596558690537,3362.2234069916885,5453.893538011471,5578.975540075917
mid_l90,mid,90,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,0,11335.224947019015,3.528822779164993,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l90/baichuan2-7b-chat_dataset_eval.json,40.0,4.0,36.0,0.9,476.08017301536165,606.1735777067953,703.0937095917761,5604.8378520063125,6337.905195553321,6598.834516680799,164.84732253593393,190.5784901115112,200.0567410106305,6285.083321010461,6318.753130373079,6331.49247069261,489.70728646963835,633.3366725011729,703.8039327133447,5503.194560995325,6347.139913996216,6599.417899479158
mid_l90,mid,90,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,1,10764.40735696815,3.7159500447655116,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/ratio_sweep_20step_5models_a100_overnight_main/raw/mid_l90/baichuan2-7b-chat_dataset_eval.json,40.0,4.0,36.0,0.9,385.31238900031894,649.1028573247604,722.44527214556,5012.236403505085,5750.895793712698,5988.214433521498,143.0896635283716,172.13753082905896,183.26869230542798,5695.725516008679,5749.820486205863,5749.83626663161,419.1866505134385,658.5997104994021,722.4847871053498,3773.143296013586,5742.611531517468,5991.957306081895
