density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,prefill_service_ms,decode_service_ms,decode_first_token_ms,source_first_latency_ms,source_finish_latency_ms
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_16,77.42532104020938,4607.613865926396,1.0938699124380946,78.51919095264748,4685.0391869666055
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_17,151.261874998454,4626.557700976264,3.044069977477193,154.3059449759312,4777.819575974718
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_18,76.43255003495142,4604.252259945497,0.8610999793745577,77.29365001432598,4680.684809980448
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_19,77.285050007049,4625.732187996618,1.9791139638982713,79.26416397094727,4703.017238003667
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_20,76.39495097100735,4640.529296069872,1.2760020326822996,77.67095300368965,4716.924247040879
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_21,76.14148105494678,4616.190463944804,2.5912479031831026,78.73272895812988,4692.331944999751
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_22,76.594085956458,4625.2222040784545,1.465665060095489,78.05975101655349,4701.8162900349125
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_23,76.39503997052088,4607.635420979932,2.3492969921790063,78.74433696269989,4684.030460950453
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_24,76.60539995413274,4615.842264029197,2.522400056477636,79.12780001061037,4692.44766398333
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_25,76.05065201641992,4616.72459699912,1.5669569838792086,77.61760900029913,4692.77524901554
