Batch Size,Mode,End-to-End Time (s),Avg Request Time (s),Throughput (req/s),Avg GPU Util (%),Avg Mem Util (%),Avg Mem Used (MB)
1,serial,65.45048499107361,14.700592364590683,1.955676875694002,40.47912524850894,22.836978131212724,29174.091451292246
1,parallel,58.20231342315674,11.533682471932366,2.1992252965854293,46.34505494505495,29.279120879120878,30374.821978021977
2,serial,66.21840770409975,14.300274787812546,1.9329972501298185,42.83469387755102,24.289795918367346,31692.0
2,parallel,67.12856413328909,11.167108503073308,1.9067888856649138,47.7007874015748,30.433070866141733,32791.700787401576
4,serial,56.089712553453204,14.433348362535934,2.2820584055947277,44.42574257425743,24.97772277227723,34046.0
4,parallel,67.10701411566558,9.969393426861522,1.9074012111368766,54.53488372093023,34.890063424947144,34162.16490486258
8,serial,58.41250981107239,13.845356000841885,2.1913114230838433,44.05568445475638,24.726218097447795,34460.0
8,parallel,59.01550381579985,10.475514464329338,2.1689215837166396,52.17574257425743,33.18069306930693,34766.85643564357
16,serial,62.2399999321642,13.904700807690592,2.0565552721643328,43.62149532710281,24.41822429906542,35142.0
16,parallel,52.27230159851882,9.929267799264533,2.448715592879633,55.417647058823526,35.06470588235294,35188.81176470588
32,serial,54.52714426441886,14.811179865084206,2.347454680173396,45.929577464788736,25.158450704225352,35316.0
32,parallel,51.95818147800506,12.65477130196603,2.4635196298043067,54.54245283018868,33.910377358490564,35971.95283018868
64,serial,61.11088598876882,21.80866576961727,2.094553170502622,47.59154929577465,26.190140845070424,36688.0
64,parallel,55.95947238684332,19.849399576988574,2.2873696720216787,55.65909090909091,34.803030303030305,38090.333333333336
128,serial,73.01629797224751,40.91540153941594,1.7530332755113254,44.96875,25.03125,40081.916666666664
128,parallel,61.592793545079836,34.86617039252059,2.07816519811391,60.417910447761194,37.56716417910448,42644.388059701494
